Fiyat,Mahalle,İlan Güncelleme Tarihi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Krediye Uygunluk,Tapu Durumu,Site İçerisinde,Eşya Durumu,Takas,Banyo Sayısı,WC Sayısı
3.750.000TL,Evka 4 Mahallesi,17 Kasım 2025,Daire,75 m²,80 m²,2+1,21 Ve Üzeri,Kot 1 (-1).Kat,9.0,Kombi Doğalgaz,Kiracı Oturuyor,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Yok,1,
4.300.000TL,Kazımdirik Mahallesi,20 Kasım 2025,Daire,105 m²,110 m²,3+1,21 Ve Üzeri,3.Kat,4.0,Kombi Doğalgaz,Boş,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1,
12.750.000TL,Barbaros Mahallesi,26 Kasım 2025,Daire,135 m²,145 m²,3+1,4,23.Kat,36.0,Merkezi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Evet,,,2,
2.850.000TL,Serintepe Mahallesi,24 Kasım 2025,Müstakil Ev,265 m²,280 m²,2+1,21 Ve Üzeri,,4.0,Isıtma Yok,Kiracı Oturuyor,Bilinmiyor,Müstakil Tapulu,Hayır,,Yok,2,
14.850.000TL,Erzene Mahallesi,18 Kasım 2025,Daire,112 m²,135 m²,3+1,0 (Yeni),3.Kat,5.0,Yerden Isıtma,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Var,2,
5.300.000TL,Birlik Mahallesi,27 Kasım 2025,Bina,200 m²,242 m²,4+2,21 Ve Üzeri,,2.0,Klimalı,Mülk Sahibi Oturuyor,Krediye Uygun,Müstakil Tapulu,Hayır,Eşyalı,Yok,2,2.0
4.900.000TL,Karacaoğlan Mahallesi,07 Kasım 2025,Daire,118 m²,130 m²,2+1,21 Ve Üzeri,Yüksek Giriş,4.0,Kombi Doğalgaz,Mülk Sahibi Oturuyor,Krediye Uygun Değil,Kat Mülkiyeti,Hayır,Boş,Yok,1,
9.400.000TL,Kazımdirik Mahallesi,30 Ekim 2025,Daire,65 m²,75 m²,2+1,1,1.Kat,8.0,Merkezi (Pay Ölçer),Boş,Krediye Uygun Değil,Kat İrtifakı,Evet,Boş,Yok,2,
7.500.000TL,Mevlana Mahallesi,17 Kasım 2025,Daire,150 m²,180 m²,3+1,4,2.Kat,3.0,Kombi Doğalgaz,Boş,Krediye Uygun,Kat Mülkiyeti,Hayır,Boş,Var,2,
4.350.000TL,Kazımdirik Mahallesi,25 Kasım 2025,Daire,98 m²,105 m²,3+1,21 Ve Üzeri,3.Kat,4.0,Isıtma Yok,Boş,Krediye Uygun,Kat İrtifakı,Hayır,,Yok,1,
